#
 0,   random_pruning_1.0,  0.57,  0.46,           ----------|-*-----            ,  0.00,  1.00
#
 1, intelligent_pruning0.5_1.0,  0.25,  0.40, ----------*-----    |                   ,  0.00,  1.00
 1, intelligent_pruning0.7_1.0,  0.25,  0.40, ----------*-----    |                   ,  0.00,  1.00
 1, intelligent_pruning0.9_1.0,  0.25,  0.40, ----------*-----    |                   ,  0.00,  1.00
 1, intelligent_pruning1.0_1.0,  0.25,  0.40, ----------*-----    |                   ,  0.00,  1.00
 1,              RRP_0.6,  0.20,  0.20, --------*           |                   ,  0.00,  1.00
 1,              RRP_0.8,  0.20,  0.29, --------*--         |                   ,  0.00,  1.00
 1,              RRP_1.0,  0.20,  0.29, --------*--         |                   ,  0.00,  1.00
 1, intelligent_pruning0.5_0.8,  0.20,  0.26,      ---*-------    |                   ,  0.00,  1.00
#
 2, intelligent_pruning0.7_0.8,  0.17,  0.25, ------*---          |                   ,  0.00,  1.00
 2, intelligent_pruning0.9_0.8,  0.17,  0.25, ------*---          |                   ,  0.00,  1.00
 2, intelligent_pruning1.0_0.8,  0.17,  0.25, ------*---          |                   ,  0.00,  1.00
 2,              RRP_0.2,  0.14,  0.20, -----*--            |                   ,  0.00,  1.00
 2,              RRP_0.4,  0.14,  0.20, -----*--            |                   ,  0.00,  1.00
 2, intelligent_pruning0.5_0.4,  0.14,  0.25, -----*----          |                   ,  0.00,  1.00
 2, intelligent_pruning0.7_0.6,  0.14,  0.29, -----*-----         |                   ,  0.00,  1.00
 2, intelligent_pruning0.9_0.6,  0.14,  0.25, -----*----          |                   ,  0.00,  1.00
 2, intelligent_pruning1.0_0.6,  0.14,  0.20, -----*--            |                   ,  0.00,  1.00
 2,   random_pruning_0.8,  0.14,  0.33, -----*-------       |                   ,  0.00,  1.00
 2,            smote_0.4,  0.12,  0.14, -----*              |                   ,  0.00,  1.00
 2,            smote_0.6,  0.12,  0.14, -----*              |                   ,  0.00,  1.00
 2,            smote_0.8,  0.12,  0.14, -----*              |                   ,  0.00,  1.00
 2,            smote_1.0,  0.12,  0.14, -----*              |                   ,  0.00,  1.00
 2,      No_Sampling_0.0,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 2,  gaussian_copula_0.2,  0.00,  0.00, *                   |                   ,  0.00,  1.00
#
 3,  gaussian_copula_0.4,  0.00,  0.00, *                   |                   ,  0.00,  1.00
#
 4,  gaussian_copula_0.6,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 4,  gaussian_copula_0.8,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 4,  gaussian_copula_1.0,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 4, intelligent_pruning0.5_0.2,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 4, intelligent_pruning0.5_0.6,  0.00,  0.14, *----               |                   ,  0.00,  1.00
#
 5, intelligent_pruning0.7_0.2,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, intelligent_pruning0.7_0.4,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, intelligent_pruning0.9_0.2,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, intelligent_pruning0.9_0.4,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, intelligent_pruning1.0_0.2,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, intelligent_pruning1.0_0.4,  0.00,  0.20, *-------            |                   ,  0.00,  1.00
 5, random_oversampling_0.2,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 5, random_oversampling_0.4,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, random_oversampling_0.6,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5, random_oversampling_0.8,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 5, random_oversampling_1.0,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 5,   random_pruning_0.2,  0.00,  0.00, *                   |                   ,  0.00,  1.00
 5,   random_pruning_0.4,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5,   random_pruning_0.6,  0.00,  0.29, *----------         |                   ,  0.00,  1.00
 5,            smote_0.2,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5,        svm_smote_0.2,  0.00,  0.12, *----               |                   ,  0.00,  1.00
 5,        svm_smote_0.4,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5,        svm_smote_0.6,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5,        svm_smote_0.8,  0.00,  0.14, *----               |                   ,  0.00,  1.00
 5,        svm_smote_1.0,  0.00,  0.14, *----               |                   ,  0.00,  1.00
